
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 785.11 KB | 02/27/2006 | 09:23:35 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 785.11 KB | 02/27/2006 | 09:26:44 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 785.11 KB | 02/27/2006 | 09:48:39 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 785.11 KB | 02/27/2006 | 09:51:23 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 09:55:54 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 09:59:06 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:04:02 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:12:10 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:12:54 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:13:53 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:18:02 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:19:00 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:28:20 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:29:22 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:30:34 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:34:30 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:39:13 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:39:59 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 10:44:44 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 11:09:58 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 3.31 MB | 02/27/2006 | 11:18:12 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 3.31 MB | 02/27/2006 | 11:23:44 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 3.31 MB | 02/27/2006 | 11:25:19 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 3.31 MB | 02/27/2006 | 11:28:21 PM
65.49.154.91-CPE000129fd5fd6-CM0011aec56026.cpe.net.cable.rogers.com | average.sql | 2.06 MB | 02/27/2006 | 11:42:48 PM
