
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.sql | 831.63 KB | 10/10/2007 | 04:45:15 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007.csv | 831.63 KB | 10/10/2007 | 04:55:23 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.csv | 259 Bytes | 10/10/2007 | 05:07:53 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.csv | 259 Bytes | 10/10/2007 | 05:08:56 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.csv | 259 Bytes | 10/10/2007 | 05:10:17 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.sql | 259 Bytes | 10/10/2007 | 05:12:07 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.sql | 259 Bytes | 10/10/2007 | 05:17:37 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.sql | 259 Bytes | 10/10/2007 | 05:19:17 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.sql | 259 Bytes | 10/10/2007 | 05:20:38 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.sql | 259 Bytes | 10/10/2007 | 05:22:23 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.sql | 259 Bytes | 10/10/2007 | 05:23:03 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.csv | 259 Bytes | 10/10/2007 | 05:23:31 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.csv | 259 Bytes | 10/10/2007 | 05:28:05 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.csv | 259 Bytes | 10/10/2007 | 05:28:46 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.csv | 259 Bytes | 10/10/2007 | 05:31:35 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | Averages2007Small.csv | 259 Bytes | 10/10/2007 | 06:52:44 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 06:55:59 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:06:17 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:23:04 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:23:38 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:24:14 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:25:08 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:25:42 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:27:06 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:28:45 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:29:11 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:31:16 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:31:57 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:32:29 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 259 Bytes | 10/10/2007 | 07:32:53 PM
