
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 01:27:33 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 01:39:32 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 01:40:01 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 01:42:50 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 01:44:49 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 01:45:25 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 03:40:41 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 03:44:59 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 03:50:47 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 03:52:19 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 03:53:44 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 03:56:10 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:04:07 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:05:38 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:07:41 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:08:49 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:10:57 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:13:06 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:14:10 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:15:25 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:17:58 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:21:05 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:21:43 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:22:04 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:27:53 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:28:16 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:28:58 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:29:50 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:33:52 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:42:18 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:44:37 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:45:51 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:47:19 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:47:49 PM
