
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 07:52:01 AM
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 08:14:08 AM
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 08:29:52 AM
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 09:04:49 AM
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 09:14:22 AM
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 09:18:37 AM
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 09:30:00 AM
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 09:33:56 AM
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 09:38:21 AM
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 07:03:44 PM
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 07:08:20 PM
174.114.192.82-CPE00164158f7c5-CM0011ae90cad0.cpe.net.cable.rogers.com | average.csv | 215.78 KB | 10/25/2009 | 07:28:53 PM
99.237.84.194-CPE001ff33e5be9-CM000f9faa6d22.cpe.net.cable.rogers.com | average.csv | 995.24 KB | 10/25/2009 | 11:26:04 PM
