
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 241 Bytes | 05/08/2010 | 04:48:18 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 241 Bytes | 05/08/2010 | 04:48:57 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 241 Bytes | 05/08/2010 | 04:49:25 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 231 Bytes | 05/08/2010 | 04:52:32 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 231 Bytes | 05/08/2010 | 04:53:22 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 231 Bytes | 05/08/2010 | 04:54:28 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 231 Bytes | 05/08/2010 | 04:55:18 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 231 Bytes | 05/08/2010 | 04:56:13 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 229 Bytes | 05/08/2010 | 04:57:03 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 229 Bytes | 05/08/2010 | 04:57:42 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 250 Bytes | 05/08/2010 | 05:02:21 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 05:03:19 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 05:05:32 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 05:06:40 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 05:08:49 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 05:12:28 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 05:14:47 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 05:18:14 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 05:25:09 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 07:22:11 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 07:23:09 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 07:27:18 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 07:30:19 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 07:30:42 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 07:32:39 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 07:33:29 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/08/2010 | 07:35:08 PM
