
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 256 Bytes | 05/11/2010 | 01:30:33 AM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 673 Bytes | 05/11/2010 | 01:40:20 AM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 669 Bytes | 05/11/2010 | 01:41:02 AM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 669 Bytes | 05/11/2010 | 01:43:18 AM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 727 Bytes | 05/11/2010 | 01:47:26 AM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 732 Bytes | 05/11/2010 | 01:50:06 AM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 732 Bytes | 05/11/2010 | 01:50:37 AM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 732 Bytes | 05/11/2010 | 01:51:59 AM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 732 Bytes | 05/11/2010 | 01:52:55 AM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 732 Bytes | 05/11/2010 | 01:57:55 AM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 732 Bytes | 05/11/2010 | 02:03:59 AM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 732 Bytes | 05/11/2010 | 02:26:00 AM
99.237.121.249-CPE001ff3444d0d-CM000f9faa6d22.cpe.net.cable.rogers.com | average.csv | 3.18 KB | 05/11/2010 | 07:37:49 PM
99.237.121.249-CPE001ff3444d0d-CM000f9faa6d22.cpe.net.cable.rogers.com | average.csv | 3.17 KB | 05/11/2010 | 07:43:04 PM
99.237.121.249-CPE001ff3444d0d-CM000f9faa6d22.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 07:43:54 PM
99.237.121.249-CPE001ff3444d0d-CM000f9faa6d22.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 07:44:44 PM
99.237.121.249-CPE001ff3444d0d-CM000f9faa6d22.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 07:48:19 PM
99.237.121.249-CPE001ff3444d0d-CM000f9faa6d22.cpe.net.cable.rogers.com | average.csv | 3.5 KB | 05/11/2010 | 09:49:06 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.17 KB | 05/11/2010 | 10:18:22 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 10:19:14 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 10:19:50 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 10:23:45 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 10:26:09 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 10:28:26 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 10:48:27 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 11:00:18 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 11:05:23 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 11:07:04 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 11:07:30 PM
99.235.136.19-CPE0018e70c129e-CM0019475dcaca.cpe.net.cable.rogers.com | average.csv | 3.16 KB | 05/11/2010 | 11:17:14 PM
99.237.121.249-CPE001ff3444d0d-CM000f9faa6d22.cpe.net.cable.rogers.com | average.csv | 3.5 KB | 05/11/2010 | 11:35:48 PM
